matrix,family,m,n,w_fro,direction,eta,step_fro,kl,kl_per_step2
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_rand,0.001,0.020035621643066406,1.5467706840336478e-07,0.0003853188795198945
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_rand,0.003,0.06010686492919922,1.4299575160225304e-06,0.00039579926353256595
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_rand,0.01,0.20035621643066406,1.587899664925304e-05,0.0003955645953176884
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_rand,0.03,0.6010686492919922,0.00014308553817247343,0.00039604778461078087
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_scale,0.0001,0.0020035621643066407,4.753128869755058e-10,0.00011840606427396192
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_scale,0.0003,0.006010686492919921,6.282068982663978e-09,0.00017388196844583755
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_scale,0.001,0.020035621643066406,7.574697209098149e-08,0.00018869467022098534
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_scale,0.003,0.06010686492919922,6.958623826630239e-07,0.00019260839255150425
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_scale,0.01,0.20035621643066406,7.683635895682094e-06,0.00019140846180523168
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_scale,0.03,0.6010686492919922,6.75080740173046e-05,0.00018685622250423642
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,frame_rot,0.0001,0.0020035621643066407,6.095584070095465e-10,0.00015184821177134547
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,frame_rot,0.0003,0.006010686492919921,7.080798075218406e-09,0.00019599006487896938
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,frame_rot,0.001,0.020035621643066406,8.480473017073807e-08,0.00021125861735471675
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,frame_rot,0.003,0.06010686492919922,7.820559758189032e-07,0.00021646599692790245
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,frame_rot,0.01,0.20035621643066406,8.714176173102563e-06,0.00021708043950009328
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,frame_rot,0.03,0.6010686492919922,7.918368286946268e-05,0.0002191732482424029
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,gauss,0.0001,0.0020035621643066407,-2.429680722054015e-10,-6.052622170026695e-05
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,gauss,0.0003,0.006010686492919921,1.8199776885085064e-08,0.000503753307833251
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,gauss,0.001,0.020035621643066406,2.1599267298222467e-07,0.0005380633056800767
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,gauss,0.003,0.06010686492919922,1.9603190483030266e-06,0.0005425985226228033
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,gauss,0.01,0.20035621643066406,2.1839510157011113e-05,0.0005440480395592898
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,gauss,0.03,0.6010686492919922,0.0001970979681906396,0.0005455492892586826
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_rand,0.0001,0.0031884693145751955,-6.704860796834286e-10,-6.595159181162593e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_rand,0.0003,0.009565407943725585,-8.920913153486455e-10,-9.749948428186001e-06
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_rand,0.001,0.03188469314575195,2.3421961741406536e-08,2.303874318950968e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_rand,0.003,0.09565407943725586,2.484638300517219e-07,2.7155398641304998e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_rand,0.01,0.3188469314575195,2.8012446090153193e-06,2.7554120304111986e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_rand,0.03,0.9565407943725586,2.503474262346479e-05,2.7361262831742486e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_scale,0.0001,0.0031884693145751955,-1.428887201184658e-09,-0.00014055084556249334
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_scale,0.0003,0.009565407943725585,4.877846911961232e-09,5.331153326340984e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_scale,0.001,0.03188469314575195,6.086335446789488e-08,5.986753836929976e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_scale,0.003,0.09565407943725586,5.713508255122887e-07,6.244474065941562e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_scale,0.01,0.3188469314575195,6.275109995875561e-06,6.1724397502248e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,spec_scale,0.03,0.9565407943725586,5.495503658211009e-05,6.0062099397890074e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,frame_rot,0.0001,0.0031884693145751955,5.28902400108772e-10,5.202487606697603e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,frame_rot,0.0003,0.009565407943725585,7.620432383280457e-09,8.328611820240136e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,frame_rot,0.001,0.03188469314575195,8.289983402112508e-08,8.15434679448411e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,frame_rot,0.003,0.09565407943725586,7.787167764898762e-07,8.510842197776885e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,frame_rot,0.01,0.3188469314575195,8.63949156744828e-06,8.498136480109477e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,frame_rot,0.03,0.9565407943725586,7.752363012394611e-05,8.472802981820767e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,gauss,0.0001,0.0031884693145751955,3.525486558495509e-10,3.46780429137396e-05
model.layers.19.self_attn.q_proj.weight,self_attn,4096,1024,31.884693145751953,gauss,0.0003,0.009565407943725585,2.0733178153227906e-09,2.2659946831492456e-05
